2025-12-07 02:22:18 | METHOD=GET | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=12.5867ms
2025-12-07 02:22:22 | METHOD=PUT | PATH=/drivers/693349af0b4ee68fca7730c7 | STATUS=200 | IP=::1 | LATENCY=2.9389ms
2025-12-07 02:22:24 | METHOD=GET | PATH=/drivers/nearby | STATUS=200 | IP=::1 | LATENCY=1.5823ms
2025-12-07 20:43:40 | METHOD=PUT | PATH=/drivers/ | STATUS=200 | IP=::1 | LATENCY=15.8236ms
2025-12-07 20:43:45 | METHOD=GET | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=4.5809ms
2025-12-07 20:43:51 | METHOD=GET | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=1.516ms
2025-12-07 20:44:13 | METHOD=GET | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=7.477ms
2025-12-07 20:44:24 | METHOD=GET | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=7.9756ms
2025-12-07 20:53:46 | METHOD=POST | PATH=/drivers/nearby | STATUS=200 | IP=::1 | LATENCY=12.3794ms
2025-12-07 20:53:56 | METHOD=POST | PATH=/drivers/nearby | STATUS=200 | IP=::1 | LATENCY=2.2736ms
2025-12-07 21:04:56 | METHOD=POST | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=0s
2025-12-07 21:05:09 | METHOD=POST | PATH=/drivers | STATUS=201 | IP=::1 | LATENCY=12.5246ms
2025-12-07 21:05:15 | METHOD=GET | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=3.3994ms
2025-12-07 21:05:28 | METHOD=PUT | PATH=/drivers/ | STATUS=400 | IP=::1 | LATENCY=6.0874ms
2025-12-07 21:05:49 | METHOD=PUT | PATH=/drivers/ | STATUS=200 | IP=::1 | LATENCY=6.9297ms
2025-12-07 21:05:55 | METHOD=POST | PATH=/drivers/nearby | STATUS=400 | IP=::1 | LATENCY=0s
2025-12-07 21:06:01 | METHOD=POST | PATH=/drivers/nearby | STATUS=200 | IP=::1 | LATENCY=6.3358ms
2025-12-07 21:10:03 | METHOD=PUT | PATH=/drivers/ | STATUS=400 | IP=::1 | LATENCY=0s
2025-12-07 21:36:41 | METHOD=POST | PATH=/drivers/nearby | STATUS=200 | IP=::1 | LATENCY=11.5962ms
2025-12-07 21:37:11 | METHOD=POST | PATH=/drivers | STATUS=201 | IP=::1 | LATENCY=7.3141ms
2025-12-07 21:37:27 | METHOD=PUT | PATH=/drivers/ | STATUS=500 | IP=::1 | LATENCY=10.6346ms
2025-12-07 21:38:13 | METHOD=POST | PATH=/drivers | STATUS=500 | IP=::1 | LATENCY=7.82ms
2025-12-07 21:38:34 | METHOD=GET | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=6.9175ms
2025-12-07 21:57:07 | METHOD=POST | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=13.9095ms
2025-12-07 21:57:16 | METHOD=GET | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=2.7107ms
2025-12-07 21:57:20 | METHOD=PUT | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=3.053ms
2025-12-07 21:57:24 | METHOD=POST | PATH=/drivers/nearby | STATUS=200 | IP=::1 | LATENCY=2.2687ms
2025-12-07 22:31:25 | METHOD=POST | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=0s
2025-12-07 22:38:12 | METHOD=POST | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=775.9µs
2025-12-07 22:45:18 | METHOD=POST | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=0s
2025-12-07 22:47:40 | METHOD=POST | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=961.9µs
2025-12-07 22:50:45 | METHOD=POST | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=0s
2025-12-07 22:51:11 | METHOD=POST | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=0s
2025-12-07 22:51:56 | METHOD=POST | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=0s
2025-12-07 22:52:02 | METHOD=POST | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=16.0701ms
2025-12-07 22:55:54 | METHOD=PUT | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=0s
2025-12-07 22:56:00 | METHOD=PUT | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=4.8024ms
2025-12-07 22:56:08 | METHOD=PUT | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=0s
2025-12-07 22:56:33 | METHOD=PUT | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=16.4404ms
2025-12-07 22:57:24 | METHOD=PUT | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=7.154ms
2025-12-07 22:58:08 | METHOD=PUT | PATH=/drivers | STATUS=400 | IP=::1 | LATENCY=9.0054ms
2025-12-07 22:58:36 | METHOD=PUT | PATH=/drivers | STATUS=200 | IP=::1 | LATENCY=8.9827ms
